Code Commune;Nom Commune;Nb -25;Nb 25-64;Nb 65+;Prop -25;Prop 25-64;Prop 65+;Taux Nat 1999-2010;Taux Mort 1999-2010
11285;Peyriac-de-Mer;251;543;241;24.3;52.5;23.3;10.2;11.7
11286;Peyriac-Minervois;269;540;278;24.7;49.7;25.6;8.5;10
11287;Peyrolles;16;49;18;19.3;59;21.7;13.4;9.4
11288;Pezens;415;655;264;31.1;49.1;19.8;9.2;8.9
11289;Pieusse;243;520;219;24.8;52.9;22.3;6.9;8.8
11290;Plaigne;25;58;31;21.8;50.9;27.3;11.2;11.2
11291;Plavilla;27;83;10;22.9;68.9;8.2;3.3;9
11292;La Pomarède;38;99;25;23.5;61.1;15.4;9.1;9.1
11293;Pomas;225;414;138;28.9;53.3;17.8;9.3;9.4
11294;Pomy;17;29;8;31;53.4;15.5;14.2;8.9
11295;Portel-des-Corbières;324;684;188;27.1;57.2;15.7;11.4;9.6
11296;Pouzols-Minervois;98;243;114;21.5;53.4;25.1;8.3;12.1
11297;Pradelles-Cabardès;27;81;43;17.9;53.6;28.5;7;14
11299;Preixan;146;278;111;27.3;52;20.7;11.4;9
11300;Puginier;40;76;30;27.3;51.9;20.8;11.2;14.9
11301;Puichéric;272;551;259;25.1;51;23.9;8.3;9
11302;Puilaurens;50;135;75;19.2;52.1;28.7;8.1;10.7
11303;Puivert;114;274;133;21.9;52.6;25.6;9.5;13.3
11304;Quillan;706;1673;1125;20.1;47.7;32.1;7.9;15.4
11305;Quintillan;13;34;18;19.4;52.2;28.4;6.1;12.2
11306;Quirbajou;11;17;8;30.6;47.2;22.2;9.7;9.7
11307;Raissac-d'Aude;51;133;59;20.9;54.8;24.3;6.1;9.8
11308;Raissac-sur-Lampy;124;213;53;31.7;54.6;13.7;11.2;8.3
11309;Rennes-le-Château;10;39;22;14.5;54.8;30.6;3;12.9
11310;Rennes-les-Bains;41;113;42;21;57.7;21.4;12.5;8.3
11311;Ribaute;69;167;59;23.4;56.6;20;5;10.3
11312;Ribouisse;27;52;26;25.5;50;24.5;4.4;11.4
11313;Ricaud;77;181;35;26.3;61.7;12;11.3;8.9
11314;Rieux-en-Val;14;46;27;15.9;53.4;30.7;2.1;8.5
11315;Rieux-Minervois;473;969;570;23.5;48.2;28.3;6.8;15.2
11316;Rivel;45;112;66;20.2;50.2;29.6;8.8;16.4
11317;Rodome;38;60;37;28.1;44.4;27.4;13;12.2
11318;Roquecourbe-Minervois;33;68;21;27;55.7;17.2;6.3;11.9
11319;Roquefère;9;42;21;13;58;29;5.8;10.1
11320;Roquefeuil;50;128;99;17.9;46.2;35.9;6.2;28.6
11321;Roquefort-de-Sault;9;37;33;11.1;46.9;42;7.5;20.7
11322;Roquefort-des-Corbières;250;532;189;25.8;54.8;19.4;9.8;8.6
11323;Roquetaillade-et-Conilhac;53;148;72;19.3;54.2;26.5;7.2;9
11324;Roubia;122;237;118;25.6;49.8;24.7;11.5;6.7
11325;Rouffiac-d'Aude;115;208;67;29.4;53.3;17.3;11.5;9.8
11326;Rouffiac-des-Corbières;16;35;24;21.3;46.7;32;9.2;24.1
11327;Roullens;133;288;74;26.9;58.2;14.9;10.5;6.1
11328;Routier;58;146;48;23;57.9;19;9.2;8.8
11330;Rustiques;151;265;57;31.9;56;12.1;11.6;4.8
11331;Saint-Amans;10;37;16;15.6;59.4;25;5.3;12
11332;Saint-André-de-Roquelongue;271;602;257;24;53.3;22.7;9.3;10.7
11333;Saint-Benoît;30;68;15;26.8;59.8;13.4;5;6.7
11334;Sainte-Camelle;34;57;23;29.5;50;20.5;8.5;13.6
11335;Sainte-Colombe-sur-Guette;7;26;16;13.7;52.9;33.3;3.4;8.5
11336;Sainte-Colombe-sur-l'Hers;122;248;132;24.4;49.4;26.2;7.1;13.2
11337;Saint-Couat-d'Aude;100;205;90;25.3;51.9;22.7;9.5;10.8
11338;Saint-Couat-du-Razès;20;29;6;36.4;52.7;10.9;19.4;5.3
11339;Saint-Denis;131;276;87;26.5;55.9;17.6;12.1;8.6
11340;Sainte-Eulalie;151;305;66;28.9;58.5;12.6;12;6.6
11341;Saint-Ferriol;25;77;43;17;53.2;29.8;2.5;15
11342;Saint-Frichoux;68;127;31;30.1;56.2;13.7;9.1;10
11343;Saint-Gaudéric;16;48;12;21.5;63.3;15.2;11.1;6.9
11344;Saint-Hilaire;173;375;203;23;49.9;27.1;8.4;15.2
11345;Saint-Jean-de-Barrou;45;144;92;16;51.3;32.7;3.1;10
11346;Saint-Jean-de-Paracol;32;70;12;27.9;61.3;10.8;6.2;8
11347;Saint-Julia-de-Bec;19;63;19;18.8;62.4;18.8;8.3;12.9
11348;Saint-Julien-de-Briola;19;43;16;24.7;54.5;20.8;9.5;5.9
11350;Saint-Just-et-le-Bézu;24;32;9;37.3;49.3;13.4;8.6;14.3
11351;Saint-Laurent-de-la-Cabrerisse;202;383;179;26.4;50.2;23.4;9.9;9.9
11352;Saint-Louis-et-Parahou;13;42;6;21.7;68.3;10;9.9;9.9
11353;Saint-Marcel-sur-Aude;502;811;341;30.4;49;20.6;12.8;15.1
11354;Saint-Martin-des-Puits;3;13;6;12.5;58.3;29.2;0;5.4
11355;Saint-Martin-de-Villereglan;94;205;37;27.8;61.1;11.1;13.7;7.3
11356;Saint-Martin-Lalande;341;603;146;31.3;55.3;13.4;12.2;6.1
11357;Saint-Martin-le-Vieil;53;121;59;22.7;51.9;25.3;8.7;10
11358;Saint-Martin-Lys;5;23;13;11.4;57.1;31.4;8.4;12.6
11359;Saint-Michel-de-Lanès;109;211;56;29;56.1;14.9;9;10.4
11360;Saint-Nazaire-d'Aude;580;951;317;31.4;51.5;17.1;10.5;9.2
