Insee - Statistiques locales; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; ; ; ; 
Code;Libellé;Nb de femmes de 15 à 64 ans par tranche d'âge 2021;Nb d'hommes de 15 à 64 ans par tranche d'âge 2021;Nb d'hommes de 15 à 64 ans par tranche d'âge 2021;Nb d'hommes de 15 à 64 ans par tranche d'âge 2021;Nb d'hommes de 15 à 64 ans par tranche d'âge 2021;Nb de femmes de 15 à 64 ans par tranche d'âge 2021;Nb de femmes de 15 à 64 ans par tranche d'âge 2021;Nb de femmes de 15 à 64 ans par tranche d'âge 2021
01369;Saint-Just;89;265;36;138;91;297;44;164
01370;Saint-Laurent-sur-Saône;95;556;88;380;87;545;104;346
01371;Saint-Marcel;108;424;75;260;90;431;68;255
01372;Saint-Martin-de-Bavel;26;132;25;76;31;138;23;89
01373;Saint-Martin-du-Frêne;77;352;60;209;83;319;50;192
01374;Saint-Martin-du-Mont;115;592;94;354;144;575;74;386
01375;Saint-Martin-le-Châtel;60;245;34;134;77;241;34;147
01376;Saint-Maurice-de-Beynost;241;1257;224;817;217;1292;239;812
01378;Saint-Maurice-de-Gourdans;195;901;155;559;186;890;134;560
01379;Saint-Maurice-de-Rémens;52;236;43;153;40;230;32;147
01380;Saint-Nizier-le-Bouchoux;51;187;29;99;58;157;23;82
01381;Saint-Nizier-le-Désert;52;285;49;188;49;286;43;190
01382;Sainte-Olive;21;103;14;65;24;97;11;66
01383;Saint-Paul-de-Varax;97;509;105;302;102;501;85;319
01384;Saint-Rambert-en-Bugey;143;640;104;412;124;637;109;384
01385;Saint-Rémy;75;286;46;159;81;280;41;164
01386;Saint-Sorlin-en-Bugey;76;352;58;209;86;353;57;220
01387;Saint-Sulpice;9;77;9;56;12;82;13;60
01388;Saint-Trivier-de-Courtes;72;304;60;178;65;278;39;168
01389;Saint-Trivier-sur-Moignans;103;587;97;375;114;539;81;355
01390;Saint-Vulbas;70;400;51;271;78;377;43;264
01391;Salavre;24;77;15;44;18;78;6;48
01392;Samognat;43;221;31;136;53;228;40;144
01393;Sandrans;37;186;39;107;40;189;34;118
01396;Sault-Brénaz;68;325;62;211;52;310;65;177
01397;Sauverny;84;303;41;196;66;334;60;190
01398;Savigneux;93;449;67;302;79;462;67;302
01399;Ségny;117;770;110;561;100;798;100;581
01400;Seillonnaz;12;40;5;17;17;43;6;25
01401;Sergy;118;681;104;456;121;711;106;487
01402;Sermoyer;48;198;25;135;39;189;24;117
01403;Serrières-de-Briord;70;405;76;244;84;403;72;261
01404;Serrières-sur-Ain;14;40;4;21;15;37;4;19
01405;Servas;70;420;79;271;69;420;79;271
01406;Servignat;17;56;8;32;16;49;6;26
01407;Seyssel;67;302;51;189;62;329;57;205
01408;Simandre-sur-Suran;57;205;41;122;42;208;31;121
01410;Sonthonnax-la-Montagne;20;102;10;65;27;84;9;56
01411;Souclin;15;91;15;61;16;80;15;50
01412;Sulignat;38;202;29;127;46;185;23;124
01415;Talissieu;37;138;14;93;32;142;23;83
01416;Tenay;58;307;46;198;63;272;38;176
01418;Thil;85;378;62;238;78;360;54;221
01419;Thoiry;329;2035;279;1409;348;2065;258;1478
01420;Thoissey;111;431;84;265;82;495;105;280
01421;Torcieu;52;233;37;146;50;222;28;143
01422;Tossiat;104;425;60;276;89;412;46;261
01423;Toussieux;87;390;47;258;85;379;44;247
01424;Tramoyes;149;595;99;348;148;591;80;361
01425;La Tranclière;20;89;9;56;24;85;13;52
01426;Val-Revermont;180;808;134;483;190;763;112;471
01427;Trévoux;431;2192;376;1422;394;2190;360;1399
01428;Valeins;5;42;9;26;6;41;10;25
01429;Vandeins;47;234;47;141;46;227;33;146
01430;Varambon;47;222;34;133;55;192;21;125
01431;Vaux-en-Bugey;84;382;67;243;72;383;56;243
01432;Verjon;17;100;15;68;18;110;21;72
01433;Vernoux;20;103;16;64;22;97;13;63
