Insee - Statistiques locales; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; ; ; ; 
Code;Libellé;Nb d'hommes de 15 à 64 ans par tranche d'âge 2010;Nb d'hommes de 15 à 64 ans par tranche d'âge 2010;Nb d'hommes de 15 à 64 ans par tranche d'âge 2010;Nb d'hommes de 15 à 64 ans par tranche d'âge 2010;Nb de femmes de 15 à 64 ans par tranche d'âge 2010;Nb de femmes de 15 à 64 ans par tranche d'âge 2010;Nb de femmes de 15 à 64 ans par tranche d'âge 2010;Nb de femmes de 15 à 64 ans par tranche d'âge 2010
01244;Meximieux;2337;480;1486;371;2402;481;1548;373
01245;Bohas-Meyriat-Rignat;268;43;170;55;254;30;172;52
01246;Mézériat;697;127;419;151;649;105;390;155
01247;Mijoux;133;23;87;23;124;17;78;29
01248;Mionnay;734;161;458;115;717;142;477;98
01249;Miribel;2939;571;1820;548;2955;541;1908;506
01250;Misérieux;600;142;341;116;619;150;358;111
01252;Mogneneins;256;41;166;50;222;27;154;41
01254;Montagnat;567;82;330;155;566;83;343;140
01255;Montagnieu;158;22;109;27;151;15;100;36
01257;Montanges;113;15;77;22;105;19;76;11
01258;Montceaux;394;72;242;81;394;74;254;66
01259;Montcet;231;49;144;38;209;35;148;26
01260;Le Montellier;77;12;53;12;81;14;53;14
01261;Monthieux;205;39;127;39;203;40;139;24
01262;Montluel;2244;473;1416;356;2373;584;1424;365
01263;Montmerle-sur-Saône;1166;181;760;225;1152;171;763;218
01264;Montracol;307;45;205;57;307;51;211;45
01265;Montréal-la-Cluse;1152;192;753;207;1115;198;721;196
01266;Montrevel-en-Bresse;671;119;406;147;723;115;453;155
01267;Nurieux-Volognat;345;47;221;77;333;52;214;68
01268;Murs-et-Gélignieux;81;16;42;22;77;11;48;17
01269;Nantua;1170;211;769;190;1141;263;698;181
01272;Neuville-les-Dames;487;83;294;110;477;86;286;105
01273;Neuville-sur-Ain;521;75;336;111;488;66;326;96
01274;Les Neyrolles;206;41;125;39;208;43;122;42
01275;Neyron;817;159;497;161;823;156;499;168
01276;Niévroz;521;111;334;76;518;104;331;83
01277;Nivollet-Montgriffon;46;3;36;7;47;5;33;9
01279;Oncieu;26;4;16;6;28;5;19;4
01280;Ordonnaz;47;5;28;15;37;2;28;7
01281;Ornex;1179;194;787;198;1241;181;849;211
01282;Outriaz;88;17;46;25;87;16;53;18
01283;Oyonnax;7218;1363;4397;1458;7186;1294;4483;1410
01284;Ozan;194;25;144;25;195;26;139;30
01285;Parcieux;365;70;241;55;356;62;223;71
01286;Parves et Nattages;305;42;179;83;307;37;202;67
01288;Péron;729;98;533;98;721;89;537;94
01289;Péronnas;1871;429;1025;418;1915;331;1124;460
01290;Pérouges;412;70;230;112;397;68;236;93
01291;Perrex;259;28;160;71;275;44;166;65
01293;Peyriat;59;10;38;11;56;7;35;14
01294;Peyrieu;284;38;186;60;266;23;187;56
01295;Peyzieux-sur-Saône;156;26;110;20;152;20;113;19
01296;Pirajoux;131;23;76;32;105;11;69;25
01297;Pizay;274;62;176;36;266;45;175;46
01298;Plagne;47;3;31;13;39;4;23;12
01299;Le Plantay;194;32;127;35;176;21;127;28
01301;Polliat;755;118;471;166;755;112;475;168
01302;Pollieu;51;7;31;13;50;8;34;8
01303;Poncin;500;93;313;95;488;78;314;96
01304;Pont-d'Ain;835;134;531;170;781;123;500;158
01305;Pont-de-Vaux;614;118;371;125;632;123;384;125
01306;Pont-de-Veyle;517;135;297;86;496;114;293;89
01307;Port;293;55;184;54;279;50;181;48
01308;Pougny;259;41;166;51;265;32;179;54
01309;Pouillat;29;5;20;4;22;3;15;4
01310;Prémeyzel;117;5;76;37;48;8;30;10
01311;Prémillieu;8;1;6;1;8;0;8;0
01313;Prévessin-Moëns;1909;285;1292;332;2116;292;1449;375
01314;Priay;473;74;326;74;475;80;317;79
01317;Ramasse;77;11;54;12;79;15;54;10
01318;Rancé;224;44;143;37;202;20;142;40
01319;Relevant;148;16;105;27;147;20;95;32
01320;Replonges;1090;161;706;223;1085;140;713;232
01321;Revonnas;253;38;159;56;242;22;163;56
01322;Reyrieux;1306;284;765;257;1275;230;801;244
01323;Reyssouze;267;40;173;54;287;43;182;62
01325;Rignieux-le-Franc;331;51;202;78;307;36;202;69
01328;Romans;198;41;120;37;184;37;108;40
01329;Rossillon;54;7;35;13;45;7;26;13
01330;Ruffieu;60;8;35;17;57;6;42;9
01331;Saint-Alban;43;7;33;3;45;11;30;4
01332;Saint-André-de-Bâgé;219;25;142;51;220;28;148;45
01333;Saint-André-de-Corcy;944;179;539;226;994;173;586;235
01334;Saint-André-d'Huiriat;185;27;123;35;169;19;113;37
01335;Saint-André-le-Bouchoux;98;13;69;15;105;14;71;19
01336;Saint-André-sur-Vieux-Jonc;350;57;218;75;347;49;226;72
01337;Saint-Bénigne;363;56;228;80;338;46;212;80
01338;Groslée-Saint-Benoit;355;53;216;86;340;54;212;75
01339;Saint-Bernard;424;79;254;92;440;75;262;104
01342;Sainte-Croix;185;34;121;30;179;29;125;25
01343;Saint-Cyr-sur-Menthon;532;78;341;113;516;73;350;94
01344;Saint-Denis-lès-Bourg;1641;294;960;386;1708;261;1037;411
01345;Saint-Denis-en-Bugey;721;140;444;137;727;115;462;150
01346;Saint-Didier-d'Aussiat;264;41;181;42;256;50;164;42
01347;Saint-Didier-de-Formans;608;110;365;133;612;97;365;150
01348;Saint-Didier-sur-Chalaronne;855;144;553;159;868;157;536;176
01349;Saint-Éloi;146;28;73;44;142;24;77;41
01350;Saint-Étienne-du-Bois;756;124;462;171;758;120;474;165
01351;Saint-Étienne-sur-Chalaronne;480;96;302;82;434;73;302;58
01352;Saint-Étienne-sur-Reyssouze;163;21;104;38;148;15;99;33
01353;Sainte-Euphémie;504;104;306;94;499;89;336;73
01354;Saint-Genis-Pouilly;3224;463;2311;451;2927;415;2074;438
01355;Saint-Genis-sur-Menthon;136;16;92;27;126;22;78;26
01356;Saint-Georges-sur-Renon;69;8;48;13;63;7;42;14
01357;Saint-Germain-de-Joux;163;29;102;32;152;26;93;33
01358;Saint-Germain-les-Paroisses;127;22;70;34;118;16;76;26
