Insee - Statistiques locales; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Code;Libellé;Taux de natalité annuel moyen 2015-2021;Taux de mortalité annuel moyen 2015-2021;Part des pers. âgées de - 15 ans 2021;Nb de pers. âgées de - de 25 ans 2021;Part des pers. âgées de - de 25 ans 2021;Nb de pers. âgées de 25 à 64 ans 2021;Part des pers. âgées de 25 à 64 ans 2021;Nb de pers. âgées de 65 ans ou + 2021;Part des pers. âgées de 65 ans ou + 2021;Nb de pers. âgées  de 75 ans ou plus 2021;Part des pers. âgées de 75 ans ou + 2021;Nb de pers. âgées de 80 ans ou + 2021;Part des pers. âgées de 80 ans ou + 2021
01124;Cormoz;10.5;8.8;19.2;188;26.8;370;52.6;145;20.6;68;9.6;39;5.6
01125;Corveissiat;11.7;6.8;19.6;162;27.2;325;54.6;109;18.2;47;7.9;25;4.2
01127;Courmangoux;8.3;4.6;19.5;127;25.2;249;49.4;128;25.4;48;9.4;31;6.2
01128;Courtes;10;7.8;19.5;83;27.9;150;50.6;64;21.5;32;10.9;15;5.1
01129;Crans;15.3;5.3;23.5;88;28.9;151;49.2;67;21.9;27;8.7;23;7.4
01130;Bresse Vallons;11.9;5.4;21.9;781;32.8;1226;51.5;373;15.7;122;5.1;70;2.9
01133;Cressin-Rochefort;9.9;9.9;15.9;88;22.7;215;55.3;86;22;30;7.8;19;5
01134;Crottet;9.5;5.2;18.1;501;27.6;930;51.2;386;21.3;136;7.5;68;3.7
01135;Crozet;7.8;2.7;23.4;737;32.2;1296;56.7;255;11.1;77;3.4;39;1.7
01136;Cruzilles-lès-Mépillat;10.6;7;20.1;297;31.5;495;52.5;151;16;63;6.6;41;4.4
01138;Culoz-Béon;13.4;8.5;20;1011;29.5;1704;49.7;711;20.8;327;9.6;191;5.6
01139;Curciat-Dongalon;8.6;11.5;17.4;114;25.3;213;47.1;124;27.6;60;13.3;38;8.3
01140;Curtafond;9.9;12.7;19.3;223;28.5;392;50;168;21.5;90;11.5;58;7.4
01141;Cuzieu;6.6;7;15.2;112;25.9;216;49.8;105;24.4;36;8.4;17;3.8
01142;Dagneux;12.8;4.2;21.4;1605;33.8;2419;50.9;728;15.3;297;6.2;156;3.3
01143;Divonne-les-Bains;9.5;5.2;21;2987;29.5;5417;53.4;1733;17.1;873;8.6;523;5.2
01145;Dompierre-sur-Veyle;10.2;6.2;18.3;348;28.8;646;53.5;213;17.7;75;6.2;45;3.7
01146;Dompierre-sur-Chalaronne;6.9;3.5;19;146;33.4;220;50.3;72;16.4;27;6.2;15;3.5
01147;Domsure;11.4;8;21;157;29.9;264;50.1;105;20;48;9.1;23;4.5
01148;Dortan;9.8;7.6;19.2;559;28.6;993;50.9;401;20.5;150;7.7;68;3.5
01149;Douvres;9.3;3.7;18.5;323;29.5;577;52.8;193;17.7;73;6.6;31;2.9
01150;Drom;13;6.1;19.2;60;28;127;58.9;28;13.1;11;5.1;5;2.3
01151;Druillat;9.6;8.7;17.4;306;26.9;567;49.8;266;23.3;114;10;72;6.3
01152;Échallon;9.8;8.3;15.9;199;26;427;55.8;139;18.2;51;6.7;32;4.2
01153;Échenevex;8.1;2.3;25.9;712;33.5;1168;54.9;247;11.6;69;3.3;36;1.7
01155;Évosges;8.1;7;15.5;32;22.5;79;55.6;31;21.8;12;8.5;6;4.2
01156;Faramans;8.8;5.6;23.4;284;32.4;477;54.3;116;13.2;49;5.6;30;3.5
01157;Fareins;8.9;4.1;20;724;29.8;1216;50;491;20.2;201;8.3;100;4.1
01158;Farges;7.7;2.4;21.9;343;32.4;588;55.6;126;11.9;70;6.7;38;3.6
01159;Feillens;11.7;9.6;18.2;916;27.1;1769;52.3;696;20.6;314;9.3;197;5.8
01160;Ferney-Voltaire;9.6;2.7;20.1;3224;29.5;6336;58;1360;12.5;557;5.1;310;2.8
01162;Flaxieu;7.6;7.6;16.9;20;30.8;31;47.7;14;21.5;7;10.8;5;7.7
01163;Foissiat;8.8;11.4;17.3;548;27.2;1003;49.8;463;23;209;10.4;146;7.2
01165;Francheleins;10;4.1;23.2;505;31.9;850;53.6;230;14.5;77;4.8;45;2.8
01166;Frans;10.6;4.2;19.8;715;28.8;1366;55;401;16.2;146;5.9;78;3.2
01167;Garnerans;8.1;4.8;16.1;166;25.2;364;55.3;128;19.5;52;7.9;32;4.9
01169;Genouilleux;11.4;3.3;19.4;197;30.4;374;57.6;78;12;27;4.2;14;2.2
01170;Béard-Géovreissiat;10.3;3.5;23;360;34.3;590;56.3;98;9.3;39;3.7;24;2.3
01171;Géovreisset;7.8;3.6;15.8;219;26.3;485;58.1;131;15.6;49;5.9;29;3.5
01173;Gex;16;5.7;20.3;3907;29.9;7821;59.8;1349;10.3;655;5;452;3.5
01174;Giron;7.5;10.3;19.3;49;27.8;97;55.1;30;17;13;7.4;6;3.4
01175;Gorrevod;10.9;7.3;17;214;27.3;406;51.7;166;21.1;65;8.3;34;4.4
01177;Grand-Corent;8.3;5.6;16.4;48;26.2;84;45.9;51;27.9;19;10.4;13;7.1
01179;Grièges;7.2;7.9;16.8;490;25.8;967;50.9;444;23.3;184;9.7;118;6.2
01180;Grilly;5.7;3.9;20;246;28.5;460;53.2;158;18.3;65;7.6;33;3.8
01181;Groissiat;6.4;9;17.2;332;27;624;50.7;274;22.3;142;11.5;90;7.3
01183;Guéreins;10.2;4.6;19.4;453;30.3;760;50.8;283;18.9;114;7.6;61;4.1
01184;Hautecourt-Romanèche;7.9;6.9;18.5;220;29;376;49.6;162;21.3;64;8.4;31;4.1
01185;Plateau d'Hauteville;7.2;16;13.7;1134;23.6;2279;47.4;1395;29;716;14.9;487;10.1
01187;Haut Valromey;7.4;10.1;13.1;114;18.8;335;55;160;26.2;68;11.2;45;7.4
