"votants","prop_25","prop_25_64","prop_65","taux_nat","taux_mort","part_non_peu_diplomes","part_bepc_brevet","part_cap_bep","part_bac","proportion_h","proportion_f","taux_activite","part_emplois_salaries","part_agriculteurs","part_emplois_non_salaries","part_artisans","part_commercants","part_chefs_entreprise","part_cadres","part_prof_intermediaires","part_employes","part_ouvriers","part_bac2","part_bac3_4","part_bac5_plus","score_orientation","non_exp_prop_votants","nb_non_scolarises_prop_votants","niveau_vie_total_prop_votants","nb_menages_prop_votants","nb_emplois_lt_prop_votants","nb_menages_pauvres_prop_nb_menages","nb_menages_seul_prop_nb_menages","nb_menages_5plus_prop_nb_menages","nb_menages_proprietaires_prop_nb_menages","nb_menages_monoparentaux_prop_nb_menages","surface_totale_logements_prop_nb_menages","nb_logements_collectifs_prop_nb_menages","nb_logements_maisons_prop_nb_menages","nb_log_avant_1945_prop_nb_menages","nb_log_1945_1969_prop_nb_menages","nb_log_1970_1989_prop_nb_menages","nb_log_apres_1990_prop_nb_menages","nb_log_date_inconnue_prop_nb_menages","nb_logements_sociaux_prop_nb_menages"
688,24.6,49.4,26.1,9.3,10.9,19.8,5.7,25.1,18.4,0.477,0.523,76.1,77.2,1,22.8,14.8,23.7,12,28.6,19.9,90.9,60.5,11,11.2,8.7,0.67,0.0232558139534884,1.25783278518262,41616.8691453488,0.750053779069767,0.623247360221568,0.0909895995829756,0.283851739313266,0.0483046758275085,0.63462116088575,0.123801200301529,94.6148183172912,0.260857264110907,0.739142735889093,0.106108670502309,0.0425860936328209,0.318200051546691,0.528208248633334,0.00489887353038639,0.128674881839868
477,33.8,55.1,11.2,10,6.9,24.5,4.2,21.9,20.7,0.513,0.487,75.3,88.5,1.5,11.5,4.6,15.3,24.9,14.9,38.7,40,96.4,NA,NA,NA,0.61,0.0167714884696017,1.0314465408805,NA,NA,0.507337526205451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,24.9,50.5,24.5,9.7,6.8,27.8,11.8,27.8,10.8,0.497,0.503,70.4,70.3,0,29.7,14.9,0,16.1,30.1,38.8,36.8,95.7,NA,NA,NA,0.65,0.016304347826087,1.13586956521739,NA,NA,0.16304347826087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
524,33.3,47.5,19.2,15.6,9.3,25.2,5.7,19.6,17.9,0.472,0.528,67.7,87.4,0.3,12.6,6.7,31.3,18.9,28.7,14.1,81.7,58.1,10.1,10.2,11.5,0.52,0.00954198473282443,1.63643688916615,44552.2279770992,1.09671183206107,1.54148471615721,0.424951755507877,0.319962344064579,0.156190346925316,0.158247154488521,0.169872815512018,75.0488100271979,0.809552148424245,0.190447851575755,0.0641595191733791,0.230489474957237,0.319875338668504,0.383049956758318,0.00242571044256165,0.706586482493644
688,29.2,51.8,19,11.7,5.4,13.2,5.4,15.5,15.6,0.483,0.517,78.8,92.8,0.1,7.2,4.4,30.2,28.6,21.5,15.3,93.8,67.4,13.7,14.4,22.4,0.52,0.00872093023255814,1.23427448177269,50547.950809593,0.734587209302326,1.51286633309507,0.0405345511242669,0.383439916421974,0.0397529857774893,0.807200690151881,0.0873156890834118,83.4447383833667,0.530465219352745,0.469534780647255,0.222752059770952,0.574375341316512,0.132885895416663,0.0699867034958725,0,0.00106649043522307
488,22.9,48.4,28.7,8,12.9,22.4,4.5,30.3,17.2,0.498,0.502,79.8,71.1,6.7,28.9,19.1,13.2,1.6,34.2,25.2,93.5,62.7,10.4,7.1,8,0.62,0.0307377049180328,1.25510204081633,33668.5010614754,0.678522540983607,0.226530612244898,0.138663139233931,0.297898942676198,0.0491515135042084,0.776228485831378,0.0957238938266907,113.674869155802,0.0014224493309052,0.998577550669095,0.562326535173155,0.0628021949812605,0.175701182958393,0.197563413757592,0.00160365306732625,0.0219649129165043
662,24,52.4,23.6,3.6,8,24.9,8.2,21,21.6,0.474,0.526,75.2,82.9,0,17.1,9.3,10.6,27.2,38.9,13.9,48.6,90.1,NA,NA,NA,0.66,0.027190332326284,1.44618055555556,NA,NA,0.42650462962963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
296,26.7,46.7,26.7,7.9,9.2,NA,NA,NA,NA,0.512,0.488,78.8,49.9,46.9,50.1,0,0,6.7,26.7,19.7,94.9,55,NA,NA,NA,0.54,0.0236486486486486,NA,31005.0582094595,0.697402027027027,0.25,0.185388822415238,0.309357606173491,0.0300342487320218,0.825137697341969,0.0843623293013162,119.570859027956,2.42211683322757e-05,0.999975778831668,0.630341373146475,0.0290896231670631,0.161516438906947,0.179047720545848,0,0
1054,27.4,47.2,25.5,10.8,11.9,44.5,6.1,24.7,10.5,0.502,0.498,72.7,91.9,2.1,8.1,4.3,7,17.2,23.5,45.9,52,92.3,NA,NA,NA,0.54,0.0265654648956357,1.58006113331766,NA,NA,1.24947096167411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
636,33.2,53.1,13.7,15.2,5.5,29.5,6.7,19.7,17.7,0.483,0.517,75.1,90.5,0,9.5,4.9,16.3,24.3,28.5,25.9,44.4,90.9,NA,NA,NA,0.52,0.0110062893081761,1.5612863327149,NA,NA,0.76969696969697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
